f1,f2,f3,f4,f5,label
0.4130549028412027,0.45999440807553627,0.14898264202438583,0.18775904758966333,0.9666351595735357,0
0.6451727179191065,0.5762019512993366,0.609348549730553,0.6157269273346495,0.5955029457290426,1
0.42774796392761627,0.5900370211106309,0.7537620276410869,0.7225471042600214,0.5764970184615062,1
0.17336372433136682,0.17819554777008384,0.525468128501667,0.01691519781190376,0.953613905435465,0
0.5209943545453105,0.6454642379249166,0.17174085509021897,0.9508143439993716,0.638850837263672,1
0.8849296972379087,0.16683877819986648,0.6071720237382523,0.6420385038345079,0.5459786868460732,1
0.38973220186320634,0.10455697605012826,0.7136470610785016,0.9866884764272636,0.5686254640356823,0
0.35332706031884664,0.4327178369953365,0.9671403134945743,0.8582163831604008,0.42783270909315896,1
0.18780933106460307,0.43227321637197946,0.37862207110541013,0.5676749578606496,0.5271493102224784,0
0.017716351442100153,0.1505386697666089,0.21220337257188793,0.23649830831506435,0.18969344977724967,0
0.35018538485389894,0.6266484167106607,0.11767129187598313,0.9111747080306313,0.23000360586187962,1
0.06267915911514033,0.7665898954876235,0.4072598307161295,0.2290149100442066,0.002578816203687384,0
0.7326533918178831,0.61823189488454,0.7879132060781057,0.6825517731784572,0.31428014617270217,1
0.6378755946529563,0.34356471072716455,0.34605951675751057,0.2796715173555695,0.40346381889280925,0
0.9749482252316576,0.4810776159356829,0.22728122746674073,0.4561915603770803,0.8755926333462279,1
0.019029143162930362,0.1744895789291483,0.22089087170475252,0.4903468780207738,0.47742652045601375,0
0.36867816414896837,0.21755651093212736,0.7192095844094637,0.3152344524022199,0.5704352125210118,1
0.1847766549006793,0.027889319296574122,0.7701654575207543,0.27559549875716793,0.9496560556764323,0
0.6210424559922177,0.06281032277335818,0.17038887616735732,0.8849156004800925,0.28374554343094704,0
0.10020411456127509,0.8976885512712383,0.6879997559992626,0.11604362209244623,0.33547728426866297,1
0.6252986743898521,0.5960036119375751,0.3762304290647158,0.46092266020380324,0.4589174147976015,0
0.16607446011805282,0.32318575850954456,0.9453198329765523,0.09344289154210828,0.002211554048730857,0
0.626158607904474,0.012960854533470068,0.04589146614629869,0.22710228363955764,0.8206210280621614,1
0.7560683009386688,0.10296752149231359,0.6982190142403731,0.33397850935755224,0.3320117902686306,1
0.8388882298745971,0.7451959640185433,0.0793128203830431,0.5825685816474476,0.6156921750216551,1
0.3076215769153883,0.42519646524581334,0.9063395086651358,0.20931626261301073,0.2260552605763959,1
0.1188973685860607,0.43447495502358235,0.11023030521037513,0.28630115309469906,0.5082825599725185,0
0.7616835552122532,0.5022090074703973,0.7850170104346798,0.5099418332889434,0.4015710484342462,1
0.669687739287671,0.43030100561015405,0.1116489521496481,0.6824260153972876,0.910808578193869,0
0.38153743840373366,0.3921000611022304,0.9151320947324711,0.9283395566166901,0.6070961740645336,1
0.674165089419282,0.3919969871386475,0.8260265482495485,0.0076448196238747546,0.658005293432612,1
0.9501420423781388,0.871510396714748,0.4784431914044004,0.12594537389091753,0.32288160582249004,1
0.1519996876556715,0.7464308578096389,0.8680374887764305,0.47493062064962066,0.34790399483804413,1
0.05983827420082355,0.9700468638777068,0.4989172194794683,0.7055458097200084,0.16875989723304763,1
0.2096785275781008,0.6654902422067044,0.3722653509834899,0.9154006650167296,0.9510947469783242,0
0.8451938595704512,0.24573309918222175,0.4286055386996729,0.5980003337041283,0.9106627122354964,0
0.2179926838574392,0.023369346462063456,0.6521697661468512,0.19922884001523822,0.43037054665842667,0
0.14950740065429158,0.9216971643738325,0.4193352266423026,0.17590615432826795,0.9868409940345815,1
0.9063359078581732,0.1453052290190464,0.4831583154845993,0.8689452536528071,0.4195396768402476,0
0.009664780076474089,0.7542222411066762,0.26685633504514006,0.7746924635392298,0.8210432506531543,0
0.32025314821116546,0.7971581343306166,0.3589291415920872,0.020448907043860376,0.4899410215911122,0
0.15331355379062395,0.6354054673111247,0.8159856770101312,0.5533786657567424,0.49374415953846773,0
0.9801692012503237,0.33603639349878434,0.39040607392060234,0.9499054637678116,0.1007545948731029,1
0.8393541440933374,0.5799768229372313,0.6352455486509745,0.09432931339010397,0.359215805223255,1
0.904075944443155,0.8135133810062902,0.023422175013348978,0.49853336755829636,0.8755434531014743,1
0.9589428460263743,0.8423072756979914,0.6455438733755814,0.3580563596705747,0.16344126804855308,1
